native_language,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
english,0.05,0.166,0.071,0.95,0.11,0.161,0.071,0.531,0.05,0.17,0.571,0.669,0.05,0.172,0.0,0.0,1.22,0.115,0.5,0.5,0.2,0.165,0.143,0.863,0.912
english,0.11,0.25,0.976,1.0,0.06,0.289,0.976,1.0,0.06,0.209,0.976,0.0,0.09,0.203,0.238,1.0,0.09,0.17,0.143,0.644,0.15,0.16,0.095,0.963,0.531
english,0.11,0.184,0.024,0.431,0.06,0.203,0.238,0.625,0.09,0.182,0.357,0.781,0.09,0.197,0.167,0.7,0.08,0.181,0.857,0.519,0.15,0.158,0.024,0.863,0.794
english,0.08,0.253,0.024,0.856,0.05,0.303,0.214,0.681,0.08,0.21,0.524,0.65,0.08,0.235,0.167,0.744,0.08,0.185,0.81,0.594,0.05,0.194,0.024,0.963,0.569
english,0.06,0.178,0.5,0.669,0.08,0.204,0.952,0.781,0.11,0.179,0.952,0.975,0.06,0.19,0.69,0.775,0.08,0.191,0.905,0.881,0.11,0.17,0.929,0.963,0.95
english,0.05,0.182,0.286,0.637,0.08,0.189,0.905,0.744,0.08,0.192,0.81,0.975,0.08,0.197,0.119,0.844,0.05,0.177,0.786,0.819,0.08,0.164,0.071,0.931,0.831
english,0.09,0.199,0.952,0.869,0.05,0.303,0.976,1.0,0.09,0.21,0.976,1.0,0.12,0.192,0.976,1.0,0.08,0.173,0.905,0.975,0.05,0.18,0.143,0.881,0.0
english,0.29,0.14,0.071,0.881,0.05,0.303,0.976,0.963,0.08,0.205,0.976,0.975,0.05,0.241,0.976,0.694,0.09,0.187,0.952,1.0,0.08,0.197,0.952,0.988,0.975
english,0.12,0.192,0.024,0.706,0.11,0.184,0.619,0.412,0.09,0.192,0.0,0.0,0.06,0.199,0.19,0.781,0.05,0.19,0.5,0.544,0.15,0.184,0.333,0.863,0.631
english,0.14,0.228,0.976,0.963,0.05,0.303,0.976,1.0,0.08,0.225,0.857,0.925,0.08,0.225,0.976,0.919,0.09,0.171,0.857,1.0,0.12,0.171,0.952,0.95,0.988
english,0.14,0.168,0.595,0.988,0.05,0.303,0.976,0.925,0.11,0.216,0.976,0.988,0.08,0.233,0.976,1.0,0.08,0.181,0.952,1.0,0.05,0.165,0.024,0.975,0.531
english,0.08,0.168,0.524,0.938,0.08,0.261,0.976,0.844,0.15,0.176,0.976,0.988,0.11,0.188,0.548,1.0,0.05,0.187,0.31,0.556,0.23,0.151,0.857,0.838,0.975
english,0.26,0.145,0.786,0.769,0.06,0.184,0.095,0.887,0.12,0.174,0.31,0.531,0.15,0.172,0.167,0.688,0.08,0.214,0.905,0.631,0.26,0.175,0.976,0.906,0.975
english,0.14,0.245,0.976,1.0,0.05,0.281,0.976,1.0,0.06,0.212,0.976,0.0,0.11,0.217,0.976,0.975,0.08,0.173,0.881,1.0,0.05,0.188,0.905,0.931,0.975
english,0.12,0.173,0.714,0.988,0.06,0.26,0.81,1.0,0.09,0.21,0.929,0.838,0.09,0.216,0.976,0.95,0.08,0.183,0.476,1.0,0.17,0.179,0.81,0.762,0.887
english,0.08,0.224,0.429,0.819,0.05,0.19,0.738,0.894,0.05,0.227,0.476,0.756,0.05,0.181,0.571,0.706,0.05,0.178,0.619,0.0,0.05,0.165,0.333,0.919,0.531
english,0.12,0.21,0.976,0.85,0.05,0.303,0.976,1.0,0.08,0.199,0.833,0.0,0.06,0.21,0.952,0.719,0.06,0.187,0.738,0.656,0.11,0.176,0.929,0.875,1.0
english,0.14,0.161,0.095,0.988,0.05,0.183,0.929,1.0,0.05,0.207,0.929,0.0,0.08,0.214,0.976,0.956,0.12,0.172,0.833,1.0,0.12,0.182,0.952,0.938,0.0
english,0.09,0.232,0.905,0.756,0.08,0.224,0.976,1.0,0.11,0.199,0.976,0.925,0.11,0.222,0.976,0.988,0.05,0.196,0.762,0.556,0.25,0.172,0.976,0.95,0.944
english,0.12,0.174,0.976,0.0,0.06,0.17,0.905,1.0,0.17,0.143,0.643,0.0,0.09,0.189,0.31,0.975,0.05,0.194,0.881,0.656,0.11,0.198,0.976,0.906,1.0
english,0.09,0.176,0.667,0.831,0.05,0.303,0.119,0.731,0.08,0.202,0.762,0.925,0.06,0.209,0.024,0.925,0.08,0.185,0.69,0.719,0.12,0.159,0.357,0.0,0.506
english,0.05,0.174,0.024,0.8,0.05,0.26,0.976,0.0,0.05,0.187,0.929,0.0,0.11,0.18,0.048,0.95,0.05,0.196,0.905,0.531,0.08,0.21,0.976,0.981,0.988
english,0.12,0.244,0.071,0.688,0.11,0.224,0.143,0.475,0.06,0.214,0.452,0.637,0.08,0.23,0.071,0.844,0.11,0.201,0.81,0.531,0.06,0.192,0.071,0.881,0.519
english,0.06,0.21,0.952,0.944,0.06,0.289,0.976,1.0,0.05,0.211,0.738,1.0,0.08,0.224,0.976,0.794,0.05,0.192,0.929,0.644,0.05,0.193,0.286,0.969,0.0
english,0.11,0.183,0.595,1.0,0.06,0.279,0.976,1.0,0.08,0.221,0.976,0.963,0.09,0.23,0.976,0.656,0.08,0.175,0.833,1.0,0.2,0.158,0.952,0.938,0.856
english,0.11,0.235,0.976,0.744,0.06,0.248,0.976,1.0,0.08,0.247,0.976,0.875,0.11,0.19,0.071,0.95,0.05,0.189,0.857,0.581,0.08,0.189,0.81,0.906,0.556
english,0.08,0.166,0.5,0.938,0.11,0.174,0.976,0.869,0.11,0.191,0.952,0.988,0.14,0.167,0.0,0.0,0.05,0.208,0.905,0.844,0.14,0.176,0.952,0.931,0.988
english,0.06,0.165,0.857,0.988,0.06,0.161,0.048,0.931,0.11,0.16,0.929,0.738,0.05,0.168,0.048,0.975,0.05,0.181,0.738,0.531,0.14,0.173,0.952,0.894,1.0
english,0.12,0.175,0.31,1.0,0.06,0.284,0.976,0.7,0.08,0.218,0.976,0.875,0.08,0.197,0.214,1.0,0.08,0.214,0.976,0.594,0.25,0.159,0.976,0.963,0.931
english,0.11,0.228,0.976,0.744,0.06,0.275,0.976,1.0,0.09,0.204,0.976,0.988,0.11,0.208,0.976,0.988,0.06,0.186,0.786,0.938,0.12,0.191,0.976,0.95,1.0
english,0.06,0.19,0.786,0.988,0.09,0.2,0.976,0.969,0.05,0.201,0.81,0.975,0.05,0.178,0.167,0.0,0.06,0.179,0.929,0.519,0.06,0.186,0.952,0.963,0.581
english,0.11,0.229,0.024,0.85,0.05,0.277,0.214,0.544,0.09,0.21,0.429,0.769,0.09,0.193,0.214,0.669,0.08,0.18,0.667,0.581,0.22,0.159,0.19,0.706,0.5
english,0.12,0.163,0.905,0.55,0.05,0.303,0.976,0.963,0.05,0.212,0.357,0.0,0.06,0.254,0.976,0.706,0.09,0.196,0.976,1.0,0.06,0.193,0.667,0.938,0.519
english,0.09,0.257,0.5,0.806,0.06,0.258,0.929,0.744,0.06,0.225,0.714,0.794,0.09,0.22,0.786,0.969,0.08,0.169,0.619,0.531,0.18,0.148,0.071,0.825,0.494
english,0.17,0.161,0.667,0.856,0.06,0.241,0.976,0.938,0.08,0.245,0.976,0.975,0.09,0.193,0.976,0.894,0.05,0.187,0.81,0.988,0.05,0.167,0.167,0.894,0.556
english,0.14,0.256,0.976,0.988,0.05,0.253,0.905,1.0,0.06,0.221,0.905,0.681,0.06,0.242,0.976,0.956,0.11,0.165,0.738,0.938,0.11,0.182,0.905,0.919,0.988
english,0.15,0.18,0.952,0.906,0.05,0.303,0.976,0.963,0.09,0.17,0.976,0.931,0.11,0.183,0.952,1.0,0.09,0.19,0.619,0.0,0.35,0.159,0.976,0.681,0.925
english,0.11,0.256,0.976,0.681,0.06,0.289,0.976,1.0,0.06,0.206,0.952,0.988,0.09,0.206,0.286,1.0,0.05,0.195,0.905,0.938,0.05,0.181,0.024,0.894,0.0
english,0.09,0.193,0.976,1.0,0.15,0.142,0.857,0.762,0.08,0.169,0.833,0.912,0.06,0.222,0.976,0.944,0.06,0.207,0.929,0.912,0.2,0.169,0.976,0.956,0.931
english,0.06,0.203,0.619,0.606,0.06,0.195,0.952,0.844,0.06,0.195,0.69,0.694,0.08,0.184,0.143,0.887,0.09,0.188,0.452,0.512,0.23,0.16,0.0,0.0,0.644
english,0.09,0.196,0.976,0.988,0.05,0.196,0.952,1.0,0.05,0.195,0.952,0.0,0.08,0.212,0.976,0.856,0.08,0.19,0.905,0.988,0.06,0.218,0.857,0.975,0.519
english,0.31,0.142,0.214,0.806,0.05,0.213,0.976,1.0,0.09,0.24,0.976,0.0,0.08,0.23,0.976,0.963,0.14,0.165,0.714,1.0,0.11,0.168,0.952,0.938,0.0
english,0.25,0.147,0.976,0.994,0.06,0.275,0.976,1.0,0.12,0.202,0.976,1.0,0.09,0.191,0.976,0.994,0.12,0.161,0.643,0.0,0.18,0.162,0.952,0.863,0.988
english,0.11,0.242,0.952,0.869,0.06,0.209,0.167,0.975,0.06,0.207,0.548,0.856,0.06,0.212,0.119,0.781,0.11,0.19,0.714,0.575,0.06,0.182,0.833,0.844,0.975
english,0.12,0.219,0.976,0.956,0.06,0.254,0.976,1.0,0.09,0.23,0.976,0.988,0.11,0.203,0.976,0.975,0.05,0.18,0.548,0.963,0.11,0.168,0.952,0.85,0.963
english,0.11,0.205,0.976,0.806,0.06,0.286,0.976,1.0,0.09,0.189,0.976,0.988,0.06,0.218,0.929,0.95,0.12,0.16,0.619,0.975,0.15,0.167,0.929,0.838,0.0
english,0.11,0.195,0.238,0.856,0.05,0.303,0.548,0.606,0.09,0.233,0.024,0.588,0.09,0.227,0.095,0.644,0.17,0.17,0.905,0.912,0.11,0.173,0.262,0.912,0.575
english,0.14,0.214,0.976,0.881,0.08,0.24,0.976,1.0,0.05,0.212,0.857,0.856,0.09,0.214,0.929,0.719,0.08,0.182,0.881,0.963,0.06,0.224,0.952,0.906,0.994
english,0.09,0.226,0.071,0.856,0.06,0.291,0.071,0.525,0.06,0.209,0.5,0.694,0.08,0.194,0.119,0.631,0.09,0.172,0.857,0.713,0.06,0.186,0.524,0.919,0.537
english,0.11,0.192,0.762,0.975,0.08,0.217,0.595,0.95,0.06,0.206,0.452,0.706,0.12,0.197,0.214,0.631,0.05,0.218,0.571,0.512,0.11,0.207,0.952,0.906,0.944
english,0.06,0.199,0.976,0.887,0.09,0.216,0.976,1.0,0.06,0.201,0.976,0.975,0.12,0.175,0.857,0.894,0.05,0.188,0.881,0.631,0.08,0.187,0.857,0.969,1.0
english,0.08,0.218,0.429,0.887,0.06,0.182,0.238,0.656,0.06,0.183,0.833,0.619,0.08,0.204,0.19,0.906,0.11,0.169,0.69,0.556,0.06,0.195,0.429,0.775,0.0
english,0.09,0.18,0.643,0.988,0.08,0.236,0.571,0.706,0.11,0.203,0.452,0.0,0.09,0.19,0.167,0.644,0.06,0.181,0.571,0.6,0.11,0.164,0.095,0.806,0.531
english,0.11,0.193,0.976,1.0,0.05,0.205,0.429,0.988,0.05,0.198,0.905,0.0,0.08,0.214,0.976,0.781,0.09,0.183,0.881,0.988,0.08,0.19,0.929,0.919,0.531
english,0.05,0.213,0.976,0.95,0.06,0.247,0.976,0.706,0.11,0.19,0.69,0.938,0.06,0.226,0.952,0.963,0.11,0.164,0.905,1.0,0.05,0.195,0.024,0.925,0.0
english,0.18,0.216,0.976,0.975,0.05,0.215,0.976,0.0,0.09,0.204,0.976,0.975,0.08,0.2,0.976,0.988,0.09,0.188,0.976,1.0,0.08,0.182,0.024,0.988,0.519
english,0.2,0.236,0.976,0.963,0.06,0.196,0.976,1.0,0.09,0.162,0.0,0.0,0.08,0.216,0.905,0.794,0.06,0.198,0.524,0.975,0.18,0.17,0.952,0.794,0.988
english,0.12,0.197,0.976,1.0,0.05,0.192,0.952,1.0,0.06,0.211,0.976,0.0,0.11,0.208,0.976,1.0,0.06,0.177,0.548,0.963,0.11,0.167,0.905,0.912,0.894
english,0.12,0.212,0.0,0.0,0.05,0.199,0.333,0.556,0.09,0.19,0.31,0.744,0.11,0.211,0.048,0.65,0.17,0.14,0.762,0.556,0.2,0.172,0.167,0.912,0.531
english,0.11,0.257,0.976,0.912,0.05,0.239,0.976,1.0,0.08,0.223,0.976,0.856,0.09,0.187,0.238,1.0,0.05,0.185,0.667,0.594,0.17,0.167,0.976,0.881,1.0
english,0.12,0.193,0.119,0.806,0.06,0.228,0.095,0.569,0.09,0.218,0.5,0.544,0.08,0.197,0.214,0.806,0.09,0.169,0.405,0.606,0.11,0.223,0.286,0.713,0.744
english,0.06,0.196,0.5,0.994,0.06,0.174,0.929,0.656,0.08,0.174,0.929,0.744,0.05,0.176,0.381,0.944,0.05,0.205,0.881,0.769,0.05,0.164,0.381,0.0,0.519
english,0.12,0.227,0.976,0.988,0.05,0.244,0.405,1.0,0.05,0.228,0.952,0.0,0.08,0.209,0.976,0.756,0.05,0.179,0.786,1.0,0.08,0.179,0.881,0.944,0.956
english,0.11,0.232,0.976,0.863,0.05,0.303,0.976,1.0,0.09,0.192,0.976,0.881,0.09,0.214,0.095,0.0,0.05,0.181,0.571,0.544,0.05,0.157,0.048,0.831,0.581
english,0.08,0.179,0.857,0.769,0.09,0.197,0.976,0.975,0.06,0.179,0.881,0.975,0.09,0.183,0.024,0.938,0.05,0.199,0.381,0.0,0.26,0.15,0.952,1.0,0.988
english,0.12,0.184,0.976,0.925,0.05,0.204,0.857,0.95,0.08,0.202,0.952,0.756,0.06,0.203,0.952,0.938,0.11,0.16,0.69,1.0,0.12,0.158,0.143,0.863,0.0
english,0.12,0.213,0.976,0.988,0.05,0.303,0.976,1.0,0.06,0.204,0.976,0.0,0.09,0.204,0.976,0.988,0.08,0.185,0.929,0.988,0.05,0.227,0.929,0.944,0.544
english,0.11,0.194,0.976,0.912,0.05,0.252,0.929,1.0,0.06,0.223,0.976,0.0,0.09,0.196,0.976,0.963,0.08,0.19,0.881,1.0,0.09,0.157,0.19,0.912,0.0
english,0.34,0.137,0.19,0.881,0.05,0.23,0.952,1.0,0.05,0.197,0.524,0.0,0.08,0.212,0.976,0.769,0.12,0.166,0.714,0.95,0.17,0.165,0.952,0.869,0.531
english,0.06,0.25,0.548,0.756,0.05,0.204,0.524,0.869,0.06,0.235,0.833,0.0,0.09,0.214,0.214,0.925,0.05,0.191,0.786,0.569,0.05,0.163,0.071,0.981,0.0
english,0.12,0.196,0.976,1.0,0.05,0.286,0.976,1.0,0.08,0.235,0.976,0.938,0.09,0.213,0.976,0.988,0.09,0.172,0.5,0.0,0.32,0.143,0.929,0.75,0.963
english,0.15,0.229,0.976,0.975,0.05,0.256,0.976,1.0,0.06,0.214,0.976,0.0,0.12,0.174,0.976,0.988,0.12,0.164,0.381,0.881,0.22,0.154,0.952,0.806,0.0
english,0.11,0.247,0.405,0.669,0.06,0.223,0.643,0.806,0.12,0.192,0.476,0.631,0.09,0.219,0.19,0.0,0.05,0.213,0.833,0.644,0.06,0.191,0.405,0.0,0.619
english,0.17,0.243,0.833,0.931,0.05,0.261,0.643,0.919,0.06,0.218,0.5,0.681,0.08,0.216,0.238,0.762,0.06,0.188,0.524,0.669,0.06,0.189,0.333,0.781,0.631
english,0.11,0.232,0.976,0.975,0.05,0.247,0.976,1.0,0.09,0.222,0.976,0.0,0.08,0.197,0.976,1.0,0.06,0.235,0.881,0.975,0.12,0.185,0.952,0.956,0.925
english,0.55,0.126,0.0,0.675,0.06,0.294,0.381,0.6,0.06,0.207,0.595,0.0,0.06,0.203,0.167,0.781,0.05,0.183,0.214,0.0,0.09,0.187,0.143,0.869,0.544
english,0.14,0.174,0.976,0.988,0.05,0.208,0.976,1.0,0.06,0.206,0.976,0.0,0.08,0.218,0.976,0.969,0.12,0.163,0.667,0.919,0.08,0.189,0.857,0.894,0.975
english,0.09,0.19,0.952,0.963,0.06,0.199,0.976,1.0,0.05,0.209,0.905,0.0,0.08,0.209,0.976,0.831,0.12,0.162,0.81,0.95,0.06,0.189,0.786,0.988,0.519
english,0.11,0.18,0.857,1.0,0.11,0.193,0.976,0.925,0.09,0.201,0.976,0.975,0.09,0.202,0.929,0.963,0.09,0.202,0.81,0.0,0.2,0.143,0.786,0.838,0.938
english,0.11,0.204,0.024,0.55,0.05,0.232,0.976,0.575,0.17,0.154,0.667,0.694,0.14,0.17,0.143,0.669,0.05,0.176,0.81,0.494,0.09,0.164,0.095,0.963,0.438
english,0.09,0.236,0.976,1.0,0.05,0.224,0.405,1.0,0.06,0.207,0.929,0.0,0.08,0.208,0.214,0.769,0.06,0.194,0.881,0.581,0.06,0.18,0.071,0.944,0.519
english,0.11,0.165,0.262,0.956,0.06,0.256,0.976,0.7,0.08,0.203,0.976,0.95,0.09,0.215,0.071,0.988,0.06,0.198,0.405,0.594,0.37,0.14,0.119,0.75,0.556
english,0.15,0.195,0.976,0.856,0.06,0.184,0.929,1.0,0.08,0.169,0.857,0.0,0.14,0.185,0.976,0.95,0.11,0.158,0.262,1.0,0.14,0.166,0.881,0.637,0.988
english,0.09,0.248,0.595,0.656,0.05,0.26,0.976,0.938,0.09,0.208,0.976,0.7,0.08,0.244,0.19,1.0,0.06,0.182,0.405,0.575,0.06,0.206,0.143,0.956,0.569
english,0.2,0.146,0.119,0.425,0.05,0.251,0.667,0.5,0.14,0.168,0.452,0.819,0.11,0.171,0.19,0.806,0.06,0.209,0.881,0.631,0.09,0.191,0.048,0.925,0.512
english,0.12,0.23,0.976,0.963,0.06,0.235,0.976,1.0,0.09,0.215,0.976,0.988,0.08,0.214,0.071,0.975,0.06,0.184,0.619,0.938,0.11,0.186,0.929,0.912,0.569
english,0.12,0.237,0.976,0.681,0.05,0.246,0.976,1.0,0.06,0.21,0.976,0.0,0.06,0.21,0.19,0.988,0.06,0.191,0.952,0.581,0.05,0.168,0.238,0.988,0.0
english,0.12,0.215,0.976,0.906,0.05,0.286,0.976,1.0,0.05,0.202,0.976,0.0,0.08,0.211,0.976,0.794,0.06,0.204,0.905,0.988,0.08,0.192,0.833,0.944,0.556
english,0.08,0.195,0.952,0.906,0.05,0.222,0.952,1.0,0.05,0.193,0.881,0.0,0.09,0.211,0.167,0.819,0.06,0.185,0.881,0.95,0.05,0.165,0.095,0.919,0.0
english,0.12,0.243,0.976,0.706,0.05,0.217,0.905,1.0,0.05,0.207,0.929,0.0,0.08,0.197,0.167,0.844,0.06,0.186,0.833,0.631,0.06,0.191,0.857,0.906,0.581
english,0.09,0.18,0.857,0.881,0.06,0.179,0.952,0.919,0.09,0.176,0.952,0.988,0.08,0.187,0.952,0.988,0.06,0.182,0.738,0.975,0.09,0.17,0.929,0.919,0.988
english,0.11,0.211,0.976,0.863,0.06,0.277,0.976,1.0,0.08,0.228,0.976,0.988,0.08,0.225,0.976,0.956,0.08,0.188,0.881,0.0,0.22,0.161,0.929,0.963,1.0
english,0.14,0.234,0.024,0.544,0.06,0.264,0.5,0.55,0.08,0.212,0.786,0.656,0.08,0.228,0.19,0.856,0.06,0.214,0.571,0.65,0.11,0.181,0.548,0.844,0.519
english,0.14,0.234,0.143,0.544,0.05,0.294,0.476,0.65,0.09,0.188,0.738,0.625,0.11,0.2,0.095,0.887,0.08,0.165,0.762,0.637,0.11,0.195,0.19,0.919,0.631
english,0.09,0.222,0.024,0.894,0.08,0.211,0.0,0.656,0.09,0.185,0.714,0.644,0.09,0.207,0.024,0.756,0.06,0.183,0.571,0.656,0.11,0.16,0.024,0.894,0.5
english,0.11,0.247,0.976,0.975,0.05,0.277,0.976,1.0,0.14,0.189,0.976,0.969,0.08,0.204,0.976,0.963,0.05,0.202,0.452,0.519,0.31,0.147,0.952,0.819,0.831
english,0.12,0.223,0.286,0.731,0.06,0.194,0.31,0.681,0.08,0.186,0.786,0.781,0.12,0.185,0.5,0.506,0.05,0.219,0.476,0.5,0.08,0.202,0.119,0.931,0.519
english,0.09,0.183,0.0,0.0,0.08,0.175,0.952,0.95,0.08,0.188,0.905,0.963,0.09,0.182,0.905,0.988,0.06,0.198,0.929,0.925,0.12,0.202,0.952,0.919,0.988
english,0.52,0.13,0.238,0.819,0.11,0.163,0.881,0.912,0.08,0.169,0.762,0.744,0.11,0.189,0.929,0.925,0.06,0.193,0.881,0.0,0.17,0.196,0.976,0.931,0.0
english,0.11,0.224,0.976,0.694,0.05,0.303,0.952,1.0,0.08,0.208,0.976,0.819,0.09,0.224,0.976,0.988,0.12,0.159,0.786,0.0,0.17,0.158,0.929,0.856,0.0
english,0.08,0.213,0.929,0.856,0.06,0.225,0.976,1.0,0.05,0.207,0.786,0.956,0.06,0.208,0.31,0.781,0.05,0.186,0.881,0.731,0.05,0.174,0.167,0.931,0.0
english,0.11,0.205,0.976,0.906,0.05,0.212,0.976,1.0,0.08,0.204,0.976,0.975,0.08,0.232,0.976,0.988,0.06,0.196,0.905,0.594,0.05,0.185,0.857,0.956,0.944
english,0.17,0.168,0.143,0.613,0.08,0.251,0.881,0.694,0.08,0.206,0.905,0.938,0.11,0.172,0.19,0.988,0.05,0.181,0.905,0.619,0.09,0.171,0.024,0.869,0.562
english,0.14,0.177,0.476,0.619,0.06,0.256,0.738,0.681,0.06,0.202,0.595,0.944,0.08,0.185,0.0,0.0,0.09,0.18,0.905,0.0,0.37,0.133,0.143,0.738,0.45
english,0.09,0.257,0.476,0.919,0.05,0.245,0.81,0.731,0.09,0.206,0.81,0.844,0.09,0.208,0.857,0.875,0.11,0.162,0.476,0.831,0.17,0.165,0.048,0.787,0.569
english,0.11,0.223,0.5,0.644,0.05,0.213,0.595,0.719,0.09,0.184,0.524,0.631,0.09,0.175,0.19,0.675,0.12,0.152,0.524,0.606,0.15,0.151,0.238,0.706,0.631
english,0.12,0.23,0.976,1.0,0.12,0.178,0.952,0.781,0.06,0.185,0.762,0.644,0.09,0.176,0.857,0.838,0.06,0.199,0.81,0.938,0.09,0.228,0.929,0.988,0.769
english,0.09,0.177,0.69,0.856,0.06,0.286,0.976,0.881,0.08,0.193,0.976,0.931,0.09,0.202,0.262,0.988,0.05,0.19,0.905,0.519,0.09,0.179,0.095,0.95,0.544
english,0.14,0.201,0.833,0.856,0.05,0.219,0.714,0.812,0.12,0.204,0.81,0.825,0.08,0.207,0.881,0.719,0.06,0.19,0.476,0.5,0.05,0.177,0.024,0.0,0.525
english,0.14,0.196,0.024,0.794,0.09,0.211,0.548,0.613,0.11,0.188,0.714,0.812,0.11,0.188,0.0,0.0,0.06,0.207,0.619,0.556,0.23,0.144,0.143,0.925,0.45
english,0.18,0.157,0.714,0.756,0.05,0.204,0.762,0.787,0.09,0.194,0.976,0.869,0.11,0.178,0.976,0.95,0.11,0.162,0.31,0.0,0.52,0.131,0.952,0.631,0.725
english,0.09,0.193,0.0,0.0,0.06,0.24,0.976,1.0,0.05,0.204,0.952,0.0,0.05,0.169,0.024,0.0,0.06,0.185,0.81,0.794,0.05,0.178,0.024,0.0,0.0
english,0.12,0.169,0.214,0.769,0.09,0.231,0.286,0.588,0.09,0.221,0.619,0.831,0.08,0.222,0.19,0.669,0.05,0.198,0.381,0.569,0.09,0.176,0.119,0.919,0.588
english,0.11,0.222,0.976,0.981,0.08,0.228,0.976,1.0,0.06,0.2,0.976,0.963,0.09,0.2,0.095,0.919,0.06,0.17,0.595,0.581,0.08,0.175,0.762,0.869,0.95
english,0.08,0.275,0.976,0.769,0.06,0.198,0.881,1.0,0.08,0.202,0.762,0.969,0.06,0.207,0.286,0.975,0.05,0.22,0.929,0.594,0.14,0.15,0.048,0.844,0.531
english,0.05,0.214,0.857,1.0,0.06,0.213,0.976,0.919,0.08,0.192,0.976,0.963,0.11,0.191,0.976,0.95,0.06,0.177,0.619,0.988,0.11,0.174,0.905,0.919,0.988
english,0.14,0.22,0.976,1.0,0.09,0.181,0.952,1.0,0.17,0.208,0.976,0.988,0.11,0.189,0.905,1.0,0.06,0.184,0.833,0.85,0.22,0.176,0.976,0.931,1.0
english,0.12,0.242,0.976,1.0,0.08,0.208,0.976,1.0,0.06,0.222,0.952,0.95,0.05,0.228,0.976,0.944,0.09,0.2,0.905,0.531,0.08,0.201,0.929,0.956,0.519
edo,0.12,0.204,0.357,0.594,0.08,0.203,0.0,0.0,0.12,0.165,0.0,0.0,0.12,0.165,0.238,0.0,0.05,0.185,0.476,0.569,0.42,0.136,0.595,0.856,0.762
ebira,0.12,0.218,0.0,0.0,0.09,0.235,0.071,0.531,0.08,0.18,0.476,0.556,0.06,0.231,0.119,0.794,0.09,0.171,0.548,0.5,0.06,0.192,0.143,0.656,0.519
dutch,0.09,0.202,0.024,0.944,0.08,0.187,0.595,0.562,0.09,0.187,0.286,0.662,0.12,0.214,0.048,0.706,0.05,0.217,0.571,0.544,0.25,0.164,0.214,0.856,0.519
dutch,0.12,0.224,0.024,0.938,0.08,0.208,0.571,0.45,0.08,0.189,0.452,0.794,0.08,0.199,0.214,0.731,0.11,0.175,0.833,0.506,0.23,0.167,0.048,0.944,0.519
dutch,0.17,0.166,0.024,0.912,0.05,0.182,0.214,0.637,0.05,0.208,0.881,0.0,0.09,0.185,0.0,0.0,0.14,0.154,0.833,0.0,0.14,0.168,0.143,0.787,0.669
dutch,0.09,0.169,0.69,0.944,0.09,0.234,0.976,0.95,0.06,0.205,0.881,1.0,0.11,0.199,0.976,0.744,0.08,0.179,0.786,0.988,0.22,0.157,0.881,0.662,0.919
dutch,0.08,0.177,0.81,0.988,0.05,0.268,0.952,0.906,0.06,0.22,0.976,0.0,0.11,0.224,0.929,0.819,0.08,0.184,0.881,0.963,0.15,0.178,0.952,0.906,0.912
dutch,0.11,0.2,0.762,0.731,0.06,0.257,0.976,0.963,0.11,0.205,0.952,0.95,0.12,0.194,0.976,0.938,0.06,0.189,0.905,0.606,0.29,0.151,0.381,0.906,0.6
dutch,0.11,0.173,0.0,0.0,0.05,0.209,0.976,0.969,0.08,0.219,0.976,0.956,0.14,0.182,0.929,1.0,0.05,0.182,0.786,0.963,0.05,0.187,0.81,0.0,0.975
dutch,0.09,0.177,0.952,0.619,0.09,0.21,0.976,0.988,0.09,0.21,0.976,0.988,0.06,0.204,0.69,0.844,0.05,0.192,0.571,0.731,0.25,0.157,0.976,0.762,1.0
dutch,0.08,0.236,0.976,0.912,0.06,0.178,0.952,1.0,0.09,0.182,0.976,0.938,0.06,0.19,0.929,0.975,0.09,0.174,0.81,0.938,0.15,0.162,0.929,0.863,0.975
dutch,0.12,0.231,0.976,1.0,0.06,0.227,0.357,1.0,0.05,0.216,0.976,0.0,0.09,0.202,0.976,0.975,0.08,0.179,0.5,1.0,0.15,0.172,0.857,0.919,0.519
dutch,0.09,0.191,0.0,0.0,0.05,0.222,0.786,0.956,0.05,0.209,0.905,0.681,0.08,0.209,0.905,0.769,0.08,0.182,0.0,0.0,0.18,0.161,0.976,0.856,0.863
dutch,0.51,0.133,0.143,0.95,0.06,0.289,0.0,0.0,0.05,0.212,0.762,0.0,0.11,0.191,0.071,0.831,0.08,0.186,0.976,0.575,0.09,0.169,0.071,0.894,0.594
dutch,0.32,0.137,0.81,0.831,0.05,0.201,0.952,1.0,0.08,0.193,0.976,0.0,0.11,0.183,0.857,0.944,0.08,0.16,0.333,1.0,0.17,0.156,0.905,0.775,0.9
dutch,0.09,0.168,0.833,0.738,0.06,0.24,0.595,0.606,0.09,0.194,0.952,0.719,0.06,0.199,0.31,0.975,0.08,0.198,0.833,0.794,0.22,0.162,0.262,0.906,0.662
dutch,0.22,0.152,0.262,0.9,0.06,0.245,0.976,1.0,0.05,0.201,0.929,0.0,0.06,0.195,0.19,0.844,0.05,0.175,0.762,0.631,0.09,0.166,0.929,0.931,0.988
dutch,0.06,0.179,0.643,0.856,0.08,0.26,0.976,0.919,0.09,0.227,0.976,0.975,0.06,0.212,0.976,0.95,0.08,0.179,0.952,0.988,0.14,0.173,0.952,0.981,0.988
